h/dp :,2
L2norm Pressure,KE,dp,Nparticles
2037.99,47.9089,0.5,800

t,8.31
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1010.36,0,83854.9,,0,0,,0,0,boundary
1,-0.75,-0.25,,1010.36,0,83862.5,,0,0,,0,0,boundary
2,-0.25,-0.25,,1010.36,0,83862.7,,0,0,,0,0,boundary
3,0.25,-0.25,,1010.36,0,83846.9,,0,0,,0,0,boundary
4,0.75,-0.25,,1010.35,0,83829.9,,0,0,,0,0,boundary
5,1.25,-0.25,,1010.35,0,83818.3,,0,0,,0,0,boundary
6,1.75,-0.25,,1010.35,0,83810.7,,0,0,,0,0,boundary
7,2.25,-0.25,,1010.35,0,83801.8,,0,0,,0,0,boundary
8,2.75,-0.25,,1010.35,0,83791.3,,0,0,,0,0,boundary
9,3.25,-0.25,,1010.35,0,83781.5,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.35,0,83771.5,,0,0,,0,0,boundary
11,4.25,-0.25,,1010.35,0,83761.3,,0,0,,0,0,boundary
12,4.75,-0.25,,1010.35,0,83751.3,,0,0,,0,0,boundary
13,5.25,-0.25,,1010.34,0,83741.1,,0,0,,0,0,boundary
14,5.75,-0.25,,1010.34,0,83731.4,,0,0,,0,0,boundary
15,6.25,-0.25,,1010.34,0,83722.2,,0,0,,0,0,boundary
16,6.75,-0.25,,1010.34,0,83713.5,,0,0,,0,0,boundary
17,7.25,-0.25,,1010.34,0,83705.5,,0,0,,0,0,boundary
18,7.75,-0.25,,1010.34,0,83698.3,,0,0,,0,0,boundary
19,8.25,-0.25,,1010.34,0,83691.8,,0,0,,0,0,boundary
20,8.75,-0.25,,1010.34,0,83686.3,,0,0,,0,0,boundary
21,9.25,-0.25,,1010.34,0,83681.6,,0,0,,0,0,boundary
22,9.75,-0.25,,1010.34,0,83677.7,,0,0,,0,0,boundary
23,10.25,-0.25,,1010.34,0,83674.6,,0,0,,0,0,boundary
24,10.75,-0.25,,1010.34,0,83672.2,,0,0,,0,0,boundary
25,11.25,-0.25,,1010.34,0,83670.5,,0,0,,0,0,boundary
26,11.75,-0.25,,1010.34,0,83669.4,,0,0,,0,0,boundary
27,12.25,-0.25,,1010.34,0,83668.9,,0,0,,0,0,boundary
28,12.75,-0.25,,1010.34,0,83668.9,,0,0,,0,0,boundary
29,13.25,-0.25,,1010.34,0,83669.4,,0,0,,0,0,boundary
30,13.75,-0.25,,1010.34,0,83670.5,,0,0,,0,0,boundary
31,14.25,-0.25,,1010.34,0,83672.2,,0,0,,0,0,boundary
32,14.75,-0.25,,1010.34,0,83674.6,,0,0,,0,0,boundary
33,15.25,-0.25,,1010.34,0,83677.7,,0,0,,0,0,boundary
34,15.75,-0.25,,1010.34,0,83681.6,,0,0,,0,0,boundary
35,16.25,-0.25,,1010.34,0,83686.3,,0,0,,0,0,boundary
36,16.75,-0.25,,1010.34,0,83691.8,,0,0,,0,0,boundary
37,17.25,-0.25,,1010.34,0,83698.3,,0,0,,0,0,boundary
38,17.75,-0.25,,1010.34,0,83705.5,,0,0,,0,0,boundary
39,18.25,-0.25,,1010.34,0,83713.5,,0,0,,0,0,boundary
40,18.75,-0.25,,1010.34,0,83722.2,,0,0,,0,0,boundary
41,19.25,-0.25,,1010.34,0,83731.4,,0,0,,0,0,boundary
42,19.75,-0.25,,1010.34,0,83741.1,,0,0,,0,0,boundary
43,20.25,-0.25,,1010.35,0,83751.3,,0,0,,0,0,boundary
44,20.75,-0.25,,1010.35,0,83761.3,,0,0,,0,0,boundary
45,21.25,-0.25,,1010.35,0,83771.5,,0,0,,0,0,boundary
46,21.75,-0.25,,1010.35,0,83781.5,,0,0,,0,0,boundary
47,22.25,-0.25,,1010.35,0,83791.3,,0,0,,0,0,boundary
48,22.75,-0.25,,1010.35,0,83801.8,,0,0,,0,0,boundary
49,23.25,-0.25,,1010.35,0,83810.7,,0,0,,0,0,boundary
50,23.75,-0.25,,1010.35,0,83818.3,,0,0,,0,0,boundary
51,24.25,-0.25,,1010.35,0,83829.9,,0,0,,0,0,boundary
52,24.75,-0.25,,1010.36,0,83846.9,,0,0,,0,0,boundary
53,25.25,-0.25,,1010.36,0,83862.7,,0,0,,0,0,boundary
54,25.75,-0.25,,1010.36,0,83862.5,,0,0,,0,0,boundary
55,26.25,-0.25,,1010.36,0,83854.9,,0,0,,0,0,boundary
56,-1.25,-0.75,,1010.98,0,89033.4,,0,0,,0,0,boundary
57,-0.75,-0.75,,1010.98,0,89038.8,,0,0,,0,0,boundary
58,-0.25,-0.75,,1010.98,0,89041.3,,0,0,,0,0,boundary
59,0.25,-0.75,,1010.98,0,89026.5,,0,0,,0,0,boundary
60,0.75,-0.75,,1010.97,0,89009.2,,0,0,,0,0,boundary
61,1.25,-0.75,,1010.97,0,88998.5,,0,0,,0,0,boundary
62,1.75,-0.75,,1010.97,0,88992,,0,0,,0,0,boundary
63,2.25,-0.75,,1010.97,0,88983.3,,0,0,,0,0,boundary
64,2.75,-0.75,,1010.97,0,88972.3,,0,0,,0,0,boundary
65,3.25,-0.75,,1010.97,0,88962.6,,0,0,,0,0,boundary
66,3.75,-0.75,,1010.97,0,88953,,0,0,,0,0,boundary
67,4.25,-0.75,,1010.97,0,88943.1,,0,0,,0,0,boundary
68,4.75,-0.75,,1010.96,0,88933.2,,0,0,,0,0,boundary
69,5.25,-0.75,,1010.96,0,88923.5,,0,0,,0,0,boundary
70,5.75,-0.75,,1010.96,0,88914,,0,0,,0,0,boundary
71,6.25,-0.75,,1010.96,0,88905.1,,0,0,,0,0,boundary
72,6.75,-0.75,,1010.96,0,88896.7,,0,0,,0,0,boundary
73,7.25,-0.75,,1010.96,0,88888.8,,0,0,,0,0,boundary
74,7.75,-0.75,,1010.96,0,88881.7,,0,0,,0,0,boundary
75,8.25,-0.75,,1010.96,0,88875.3,,0,0,,0,0,boundary
76,8.75,-0.75,,1010.96,0,88869.6,,0,0,,0,0,boundary
77,9.25,-0.75,,1010.96,0,88864.7,,0,0,,0,0,boundary
78,9.75,-0.75,,1010.96,0,88860.6,,0,0,,0,0,boundary
79,10.25,-0.75,,1010.96,0,88857.3,,0,0,,0,0,boundary
80,10.75,-0.75,,1010.96,0,88854.7,,0,0,,0,0,boundary
