h/dp :,2
L2norm Pressure,KE,dp,Nparticles
1272.01,34.8355,0.5,800

t,7.37
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1010.1,0,81704.3,,0,0,,0,0,boundary
1,-0.75,-0.25,,1010.1,0,81695.7,,0,0,,0,0,boundary
2,-0.25,-0.25,,1010.1,0,81684.7,,0,0,,0,0,boundary
3,0.25,-0.25,,1010.1,0,81699.7,,0,0,,0,0,boundary
4,0.75,-0.25,,1010.1,0,81716.4,,0,0,,0,0,boundary
5,1.25,-0.25,,1010.1,0,81723.2,,0,0,,0,0,boundary
6,1.75,-0.25,,1010.1,0,81727.4,,0,0,,0,0,boundary
7,2.25,-0.25,,1010.1,0,81733.4,,0,0,,0,0,boundary
8,2.75,-0.25,,1010.1,0,81738.7,,0,0,,0,0,boundary
9,3.25,-0.25,,1010.1,0,81742.3,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.1,0,81745.9,,0,0,,0,0,boundary
11,4.25,-0.25,,1010.1,0,81748.8,,0,0,,0,0,boundary
12,4.75,-0.25,,1010.11,0,81750.8,,0,0,,0,0,boundary
13,5.25,-0.25,,1010.11,0,81752.1,,0,0,,0,0,boundary
14,5.75,-0.25,,1010.11,0,81752.6,,0,0,,0,0,boundary
15,6.25,-0.25,,1010.11,0,81752.4,,0,0,,0,0,boundary
16,6.75,-0.25,,1010.11,0,81751.7,,0,0,,0,0,boundary
17,7.25,-0.25,,1010.11,0,81750.2,,0,0,,0,0,boundary
18,7.75,-0.25,,1010.1,0,81748.1,,0,0,,0,0,boundary
19,8.25,-0.25,,1010.1,0,81745.4,,0,0,,0,0,boundary
20,8.75,-0.25,,1010.1,0,81742.4,,0,0,,0,0,boundary
21,9.25,-0.25,,1010.1,0,81739.2,,0,0,,0,0,boundary
22,9.75,-0.25,,1010.1,0,81736.1,,0,0,,0,0,boundary
23,10.25,-0.25,,1010.1,0,81733.1,,0,0,,0,0,boundary
24,10.75,-0.25,,1010.1,0,81730.5,,0,0,,0,0,boundary
25,11.25,-0.25,,1010.1,0,81728.3,,0,0,,0,0,boundary
26,11.75,-0.25,,1010.1,0,81726.8,,0,0,,0,0,boundary
27,12.25,-0.25,,1010.1,0,81726.1,,0,0,,0,0,boundary
28,12.75,-0.25,,1010.1,0,81726.1,,0,0,,0,0,boundary
29,13.25,-0.25,,1010.1,0,81726.8,,0,0,,0,0,boundary
30,13.75,-0.25,,1010.1,0,81728.3,,0,0,,0,0,boundary
31,14.25,-0.25,,1010.1,0,81730.5,,0,0,,0,0,boundary
32,14.75,-0.25,,1010.1,0,81733.1,,0,0,,0,0,boundary
33,15.25,-0.25,,1010.1,0,81736.1,,0,0,,0,0,boundary
34,15.75,-0.25,,1010.1,0,81739.2,,0,0,,0,0,boundary
35,16.25,-0.25,,1010.1,0,81742.4,,0,0,,0,0,boundary
36,16.75,-0.25,,1010.1,0,81745.4,,0,0,,0,0,boundary
37,17.25,-0.25,,1010.1,0,81748.1,,0,0,,0,0,boundary
38,17.75,-0.25,,1010.11,0,81750.2,,0,0,,0,0,boundary
39,18.25,-0.25,,1010.11,0,81751.7,,0,0,,0,0,boundary
40,18.75,-0.25,,1010.11,0,81752.4,,0,0,,0,0,boundary
41,19.25,-0.25,,1010.11,0,81752.6,,0,0,,0,0,boundary
42,19.75,-0.25,,1010.11,0,81752.1,,0,0,,0,0,boundary
43,20.25,-0.25,,1010.11,0,81750.8,,0,0,,0,0,boundary
44,20.75,-0.25,,1010.1,0,81748.8,,0,0,,0,0,boundary
45,21.25,-0.25,,1010.1,0,81745.9,,0,0,,0,0,boundary
46,21.75,-0.25,,1010.1,0,81742.3,,0,0,,0,0,boundary
47,22.25,-0.25,,1010.1,0,81738.7,,0,0,,0,0,boundary
48,22.75,-0.25,,1010.1,0,81733.4,,0,0,,0,0,boundary
49,23.25,-0.25,,1010.1,0,81727.4,,0,0,,0,0,boundary
50,23.75,-0.25,,1010.1,0,81723.2,,0,0,,0,0,boundary
51,24.25,-0.25,,1010.1,0,81716.4,,0,0,,0,0,boundary
52,24.75,-0.25,,1010.1,0,81699.7,,0,0,,0,0,boundary
53,25.25,-0.25,,1010.1,0,81684.7,,0,0,,0,0,boundary
54,25.75,-0.25,,1010.1,0,81695.7,,0,0,,0,0,boundary
55,26.25,-0.25,,1010.1,0,81704.3,,0,0,,0,0,boundary
56,-1.25,-0.75,,1010.71,0,86802,,0,0,,0,0,boundary
57,-0.75,-0.75,,1010.71,0,86798,,0,0,,0,0,boundary
58,-0.25,-0.75,,1010.71,0,86787.6,,0,0,,0,0,boundary
59,0.25,-0.75,,1010.71,0,86800.9,,0,0,,0,0,boundary
60,0.75,-0.75,,1010.71,0,86816,,0,0,,0,0,boundary
61,1.25,-0.75,,1010.71,0,86821,,0,0,,0,0,boundary
62,1.75,-0.75,,1010.71,0,86824.7,,0,0,,0,0,boundary
63,2.25,-0.75,,1010.71,0,86831.6,,0,0,,0,0,boundary
64,2.75,-0.75,,1010.71,0,86837.5,,0,0,,0,0,boundary
65,3.25,-0.75,,1010.71,0,86841,,0,0,,0,0,boundary
66,3.75,-0.75,,1010.72,0,86844.5,,0,0,,0,0,boundary
67,4.25,-0.75,,1010.72,0,86847.6,,0,0,,0,0,boundary
68,4.75,-0.75,,1010.72,0,86849.7,,0,0,,0,0,boundary
69,5.25,-0.75,,1010.72,0,86851.1,,0,0,,0,0,boundary
70,5.75,-0.75,,1010.72,0,86851.8,,0,0,,0,0,boundary
71,6.25,-0.75,,1010.72,0,86851.8,,0,0,,0,0,boundary
72,6.75,-0.75,,1010.72,0,86851.1,,0,0,,0,0,boundary
73,7.25,-0.75,,1010.72,0,86849.9,,0,0,,0,0,boundary
74,7.75,-0.75,,1010.72,0,86848.1,,0,0,,0,0,boundary
75,8.25,-0.75,,1010.72,0,86846.1,,0,0,,0,0,boundary
76,8.75,-0.75,,1010.72,0,86843.8,,0,0,,0,0,boundary
77,9.25,-0.75,,1010.71,0,86841.2,,0,0,,0,0,boundary
