h/dp :,2
L2norm Pressure,KE,dp,Nparticles
1692.6,86.0415,0.5,800

t,2.13
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1010.36,0,83896.2,,0,0,,0,0,boundary
1,-0.75,-0.25,,1010.36,0,83913.8,,0,0,,0,0,boundary
2,-0.25,-0.25,,1010.36,0,83916.6,,0,0,,0,0,boundary
3,0.25,-0.25,,1010.36,0,83893.8,,0,0,,0,0,boundary
4,0.75,-0.25,,1010.36,0,83865.9,,0,0,,0,0,boundary
5,1.25,-0.25,,1010.36,0,83844.6,,0,0,,0,0,boundary
6,1.75,-0.25,,1010.35,0,83830.1,,0,0,,0,0,boundary
7,2.25,-0.25,,1010.35,0,83820.9,,0,0,,0,0,boundary
8,2.75,-0.25,,1010.35,0,83815.8,,0,0,,0,0,boundary
9,3.25,-0.25,,1010.35,0,83812.7,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.35,0,83809.4,,0,0,,0,0,boundary
11,4.25,-0.25,,1010.35,0,83806.7,,0,0,,0,0,boundary
12,4.75,-0.25,,1010.35,0,83805.2,,0,0,,0,0,boundary
13,5.25,-0.25,,1010.35,0,83805.2,,0,0,,0,0,boundary
14,5.75,-0.25,,1010.35,0,83807,,0,0,,0,0,boundary
15,6.25,-0.25,,1010.35,0,83810.5,,0,0,,0,0,boundary
16,6.75,-0.25,,1010.35,0,83814.7,,0,0,,0,0,boundary
17,7.25,-0.25,,1010.35,0,83819.6,,0,0,,0,0,boundary
18,7.75,-0.25,,1010.35,0,83825.1,,0,0,,0,0,boundary
19,8.25,-0.25,,1010.35,0,83830.7,,0,0,,0,0,boundary
20,8.75,-0.25,,1010.36,0,83836.1,,0,0,,0,0,boundary
21,9.25,-0.25,,1010.36,0,83841,,0,0,,0,0,boundary
22,9.75,-0.25,,1010.36,0,83844.8,,0,0,,0,0,boundary
23,10.25,-0.25,,1010.36,0,83847.7,,0,0,,0,0,boundary
24,10.75,-0.25,,1010.36,0,83849.9,,0,0,,0,0,boundary
25,11.25,-0.25,,1010.36,0,83851.3,,0,0,,0,0,boundary
26,11.75,-0.25,,1010.36,0,83852.1,,0,0,,0,0,boundary
27,12.25,-0.25,,1010.36,0,83852.5,,0,0,,0,0,boundary
28,12.75,-0.25,,1010.36,0,83852.5,,0,0,,0,0,boundary
29,13.25,-0.25,,1010.36,0,83852.1,,0,0,,0,0,boundary
30,13.75,-0.25,,1010.36,0,83851.3,,0,0,,0,0,boundary
31,14.25,-0.25,,1010.36,0,83849.9,,0,0,,0,0,boundary
32,14.75,-0.25,,1010.36,0,83847.7,,0,0,,0,0,boundary
33,15.25,-0.25,,1010.36,0,83844.8,,0,0,,0,0,boundary
34,15.75,-0.25,,1010.36,0,83841,,0,0,,0,0,boundary
35,16.25,-0.25,,1010.36,0,83836.1,,0,0,,0,0,boundary
36,16.75,-0.25,,1010.35,0,83830.7,,0,0,,0,0,boundary
37,17.25,-0.25,,1010.35,0,83825.1,,0,0,,0,0,boundary
38,17.75,-0.25,,1010.35,0,83819.6,,0,0,,0,0,boundary
39,18.25,-0.25,,1010.35,0,83814.7,,0,0,,0,0,boundary
40,18.75,-0.25,,1010.35,0,83810.5,,0,0,,0,0,boundary
41,19.25,-0.25,,1010.35,0,83807,,0,0,,0,0,boundary
42,19.75,-0.25,,1010.35,0,83805.2,,0,0,,0,0,boundary
43,20.25,-0.25,,1010.35,0,83805.2,,0,0,,0,0,boundary
44,20.75,-0.25,,1010.35,0,83806.7,,0,0,,0,0,boundary
45,21.25,-0.25,,1010.35,0,83809.4,,0,0,,0,0,boundary
46,21.75,-0.25,,1010.35,0,83812.7,,0,0,,0,0,boundary
47,22.25,-0.25,,1010.35,0,83815.8,,0,0,,0,0,boundary
48,22.75,-0.25,,1010.35,0,83820.9,,0,0,,0,0,boundary
49,23.25,-0.25,,1010.35,0,83830.1,,0,0,,0,0,boundary
50,23.75,-0.25,,1010.36,0,83844.6,,0,0,,0,0,boundary
51,24.25,-0.25,,1010.36,0,83865.9,,0,0,,0,0,boundary
52,24.75,-0.25,,1010.36,0,83893.8,,0,0,,0,0,boundary
53,25.25,-0.25,,1010.36,0,83916.6,,0,0,,0,0,boundary
54,25.75,-0.25,,1010.36,0,83913.8,,0,0,,0,0,boundary
55,26.25,-0.25,,1010.36,0,83896.2,,0,0,,0,0,boundary
56,-1.25,-0.75,,1010.98,0,89095.8,,0,0,,0,0,boundary
57,-0.75,-0.75,,1010.99,0,89117.8,,0,0,,0,0,boundary
58,-0.25,-0.75,,1010.99,0,89128,,0,0,,0,0,boundary
59,0.25,-0.75,,1010.99,0,89108.5,,0,0,,0,0,boundary
60,0.75,-0.75,,1010.98,0,89079.9,,0,0,,0,0,boundary
61,1.25,-0.75,,1010.98,0,89057,,0,0,,0,0,boundary
62,1.75,-0.75,,1010.98,0,89040.2,,0,0,,0,0,boundary
63,2.25,-0.75,,1010.98,0,89028.2,,0,0,,0,0,boundary
64,2.75,-0.75,,1010.97,0,89020,,0,0,,0,0,boundary
65,3.25,-0.75,,1010.97,0,89014.5,,0,0,,0,0,boundary
66,3.75,-0.75,,1010.97,0,89009.7,,0,0,,0,0,boundary
67,4.25,-0.75,,1010.97,0,89005.8,,0,0,,0,0,boundary
68,4.75,-0.75,,1010.97,0,89003.1,,0,0,,0,0,boundary
69,5.25,-0.75,,1010.97,0,89001.2,,0,0,,0,0,boundary
70,5.75,-0.75,,1010.97,0,89001,,0,0,,0,0,boundary
71,6.25,-0.75,,1010.97,0,89003,,0,0,,0,0,boundary
72,6.75,-0.75,,1010.97,0,89006.7,,0,0,,0,0,boundary
73,7.25,-0.75,,1010.97,0,89011.3,,0,0,,0,0,boundary
74,7.75,-0.75,,1010.97,0,89016.4,,0,0,,0,0,boundary
75,8.25,-0.75,,1010.98,0,89021.7,,0,0,,0,0,boundary
76,8.75,-0.75,,1010.98,0,89026.8,,0,0,,0,0,boundary
77,9.25,-0.75,,1010.98,0,89031.1,,0,0,,0,0,boundary
78,9.75,-0.75,,1010.98,0,89034.4,,0,0,,0,0,boundary
79,10.25,-0.75,,1010.98,0,89036.8,,0,0,,0,0,boundary
80,10.75,-0.75,,1010.98,0,89038.3,,0,0,,0,0,boundary
81,11.25,-0.75,,1010.98,0,89039.1,,0,0,,0,0,boundary
