dr0,0.0141421
r0,0.05
R,1
R/r0,20
Nr,30
Ntheta,22
Nboundary,22
Nfluid,660
Nparticles,858
Apolar,0.0494007
Bpolar,0.279261

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0415238,0.0350017,0.0360551,122.935,121.726,120.414

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,0.05,0,0.05,0,boundary,,,,,,,,,,,,,,,,
1,0.05,0.285599,0.0479746,0.0140866,boundary,,,,,,,,,,,,,,,,
2,0.05,0.571199,0.0420627,0.027032,boundary,,,,,,,,,,,,,,,,
3,0.05,0.856798,0.032743,0.0377875,boundary,,,,,,,,,,,,,,,,
4,0.05,1.1424,0.0207708,0.0454816,boundary,,,,,,,,,,,,,,,,
5,0.05,1.428,0.00711574,0.0494911,boundary,,,,,,,,,,,,,,,,
6,0.05,1.7136,-0.00711574,0.0494911,boundary,,,,,,,,,,,,,,,,
7,0.05,1.9992,-0.0207708,0.0454816,boundary,,,,,,,,,,,,,,,,
8,0.05,2.28479,-0.032743,0.0377875,boundary,,,,,,,,,,,,,,,,
9,0.05,2.57039,-0.0420627,0.027032,boundary,,,,,,,,,,,,,,,,
10,0.05,2.85599,-0.0479746,0.0140866,boundary,,,,,,,,,,,,,,,,
11,0.05,3.14159,-0.05,6.12323e-18,boundary,,,,,,,,,,,,,,,,
12,0.05,3.42719,-0.0479746,-0.0140866,boundary,,,,,,,,,,,,,,,,
13,0.05,3.71279,-0.0420627,-0.027032,boundary,,,,,,,,,,,,,,,,
14,0.05,3.99839,-0.032743,-0.0377875,boundary,,,,,,,,,,,,,,,,
15,0.05,4.28399,-0.0207708,-0.0454816,boundary,,,,,,,,,,,,,,,,
16,0.05,4.56959,-0.00711574,-0.0494911,boundary,,,,,,,,,,,,,,,,
17,0.05,4.85519,0.00711574,-0.0494911,boundary,,,,,,,,,,,,,,,,
18,0.05,5.14079,0.0207708,-0.0454816,boundary,,,,,,,,,,,,,,,,
19,0.05,5.42639,0.032743,-0.0377875,boundary,,,,,,,,,,,,,,,,
20,0.05,5.71199,0.0420627,-0.027032,boundary,,,,,,,,,,,,,,,,
21,0.05,5.99759,0.0479746,-0.0140866,boundary,,,,,,,,,,,,,,,,
22,0.0641421,0,0.0641421,0,fluid,,0.79715,0.819731,0.831141,,11.4553,-3.94777e-16,,13.3036,-4.996e-16,,13.6431,-5.55112e-17,,395.001,427.398,428.792
23,0.0641421,0.285599,0.0615439,0.0180709,fluid,,0.79715,0.819731,0.831141,,10.9913,3.22734,,12.7647,3.74805,,13.0905,3.84371,,379.001,410.086,411.423
24,0.0641421,0.571199,0.0539598,0.0346779,fluid,,0.79715,0.819731,0.831141,,9.63683,6.19321,,11.1917,7.19245,,11.4773,7.37603,,332.297,359.55,360.723
25,0.0641421,0.856798,0.0420042,0.0484754,fluid,,0.79715,0.819731,0.831141,,7.50164,8.65735,,8.71199,10.0542,,8.93434,10.3108,,258.672,279.887,280.8
26,0.0641421,1.1424,0.0266456,0.0583457,fluid,,0.79715,0.819731,0.831141,,4.75871,10.4201,,5.5265,12.1014,,5.66756,12.4102,,164.09,177.548,178.127
27,0.0641421,1.428,0.00912838,0.0634893,fluid,,0.79715,0.819731,0.831141,,1.63026,11.3387,,1.8933,13.1682,,1.94162,13.5043,,56.2149,60.8252,61.0236
28,0.0641421,1.7136,-0.00912838,0.0634893,fluid,,0.79715,0.819731,0.831141,,-1.63026,11.3387,,-1.8933,13.1682,,-1.94162,13.5043,,-56.2149,-60.8252,-61.0236
29,0.0641421,1.9992,-0.0266456,0.0583457,fluid,,0.79715,0.819731,0.831141,,-4.75871,10.4201,,-5.5265,12.1014,,-5.66756,12.4102,,-164.09,-177.548,-178.127
30,0.0641421,2.28479,-0.0420042,0.0484754,fluid,,0.79715,0.819731,0.831141,,-7.50164,8.65735,,-8.71199,10.0542,,-8.93434,10.3108,,-258.672,-279.887,-280.8
