h/dp :,2
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.111422,0.0979412,0.0922839,15.5759,14.1002,13.5494

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
0,0.05,0.05,,0.410942,0.448933,0.47116,,1.73101,1.73101,,2.13216,2.13216,,2.32905,2.32905,,-132.052,-133.504,-134.228
1,0.15,0.05,,0.551777,0.610794,0.636156,,1.02683,2.32425,,1.02688,2.90016,,0.959144,3.14585,,-139.094,-144.557,-147.927
2,0.25,0.05,,0.618303,0.664643,0.683295,,0.36157,2.60447,,0.19133,3.1657,,0.134577,3.38761,,-152.399,-161.267,-164.418
3,0.35,0.05,,0.637363,0.670502,0.686646,,0.0756706,2.68476,,3.59088e-16,3.19855,,2.42861e-16,3.40694,,-160.976,-167.007,-168.456
4,0.45,0.05,,0.640675,0.670502,0.686646,,0.00942802,2.69871,,1.37043e-16,3.19855,,-6.93889e-18,3.40694,,-163.626,-167.007,-168.456
5,0.55,0.05,,0.641024,0.670502,0.686646,,0.000700622,2.70018,,1.37043e-16,3.19855,,-6.93889e-18,3.40694,,-164.062,-167.007,-168.456
6,0.65,0.05,,0.641047,0.670502,0.686646,,3.11135e-05,2.70027,,1.37043e-16,3.19855,,-6.93889e-18,3.40694,,-164.103,-167.007,-168.456
7,0.75,0.05,,0.641047,0.670502,0.686646,,8.27206e-07,2.70028,,1.37043e-16,3.19855,,-6.93889e-18,3.40694,,-164.105,-167.007,-168.456
8,0.85,0.05,,0.641047,0.670502,0.686646,,1.3189e-08,2.70028,,-5.08274e-16,3.19855,,-5.82867e-16,3.40694,,-164.105,-167.007,-168.456
9,0.95,0.05,,0.641047,0.670502,0.686646,,1.26298e-10,2.70028,,-1.58033e-15,3.19855,,-1.7035e-15,3.40694,,-164.105,-167.007,-168.456
10,1.05,0.05,,0.641047,0.670502,0.686646,,7.2497e-13,2.70028,,-2.43382e-15,3.19855,,-3.01755e-15,3.40694,,-164.105,-167.007,-168.456
