dx/h :,0.5
dy/h :,0.5
L2normdrhodt,dx,dy,Ncol,Nrow
0,0.5,0.5,50,50

t,0
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
-0.5,9.5,,1000,0,0,,0,0,,0,0
-0.5,10,,1000,0,0,,0,0,,0,0
-0.5,10.5,,1000,0,0,,0,0,,0,0
-0.5,11,,1000,0,0,,0,0,,0,0
-0.5,11.5,,1000,0,0,,0,0,,0,0
-0.5,12,,1000,0,0,,0,0,,0,0
-0.5,12.5,,1000,0,0,,0,0,,0,0
-0.5,13,,1000,0,0,,0,0,,0,0
-0.5,13.5,,1000,0,0,,0,0,,0,0
-0.5,14,,1000,0,0,,0,0,,0,0
-0.5,14.5,,1000,0,0,,0,0,,0,0
-0.5,15,,1000,0,0,,0,0,,0,0
-0.5,15.5,,1000,0,0,,0,0,,0,0
-0.5,16,,1000,0,0,,0,0,,0,0
-0.5,16.5,,1000,0,0,,0,0,,0,0
-0.5,17,,1000,0,0,,0,0,,0,0
-0.5,17.5,,1000,0,0,,0,0,,0,0
-0.5,18,,1000,0,0,,0,0,,0,0
-0.5,18.5,,1000,0,0,,0,0,,0,0
-0.5,19,,1000,0,0,,0,0,,0,0
-0.5,19.5,,1000,0,0,,0,0,,0,0
-0.5,20,,1000,0,0,,0,0,,0,0
-0.5,20.5,,1000,0,0,,0,0,,0,0
-0.5,21,,1000,0,0,,0,0,,0,0
-0.5,21.5,,1000,0,0,,0,0,,0,0
-0.5,22,,1000,0,0,,0,0,,0,0
-0.5,22.5,,1000,0,0,,0,0,,0,0
-0.5,23,,1000,0,0,,0,0,,0,0
0,-1.5,,1000,0,0,,0,0,,0,0
0,-1,,1000,0,0,,0,0,,0,0
0,-0.5,,1000,0,0,,0,0,,0,0
0,0,,1000,0,0,,0,0,,0,0
0,0.5,,1000,0,0,,0,0,,0,0
0,1,,1000,0,0,,0,0,,0,0
0,1.5,,1000,0,0,,0,0,,0,0
0,2,,1000,0,0,,0,0,,0,0
0,2.5,,1000,0,0,,0,0,,0,0
0,3,,1000,0,0,,0,0,,0,0
0,3.5,,1000,0,0,,0,0,,0,0
0,4,,1000,0,0,,0,0,,0,0
0,4.5,,1000,0,0,,0,0,,0,0
0,5,,1000,0,0,,0,0,,0,0
0,5.5,,1000,0,0,,0,0,,0,0
0,6,,1000,0,0,,0,0,,0,0
0,6.5,,1000,0,0,,0,0,,0,0
0,7,,1000,0,0,,0,0,,0,0
0,7.5,,1000,0,0,,0,0,,0,0
0,8,,1000,0,0,,0,0,,0,0
0,8.5,,1000,0,0,,0,0,,0,0
0,9,,1000,0,0,,0,0,,0,0
0,9.5,,1000,0,0,,0,0,,0,0
0,10,,1000,0,0,,0,0,,0,0
0,10.5,,1000,0,0,,0,0,,0,0
0,11,,1000,0,0,,0,0,,0,0
0,11.5,,1000,0,0,,0,0,,0,0
0,12,,1000,0,0,,0,0,,0,0
0,12.5,,1000,0,0,,0,0,,0,0
0,13,,1000,0,0,,0,0,,0,0
0,13.5,,1000,0,0,,0,0,,0,0
0,14,,1000,0,0,,0,0,,0,0
0,14.5,,1000,0,0,,0,0,,0,0
0,15,,1000,0,0,,0,0,,0,0
0,15.5,,1000,0,0,,0,0,,0,0
0,16,,1000,0,0,,0,0,,0,0
0,16.5,,1000,0,0,,0,0,,0,0
0,17,,1000,0,0,,0,0,,0,0
0,17.5,,1000,0,0,,0,0,,0,0
0,18,,1000,0,0,,0,0,,0,0
0,18.5,,1000,0,0,,0,0,,0,0
0,19,,1000,0,0,,0,0,,0,0
0,19.5,,1000,0,0,,0,0,,0,0
0,20,,1000,0,0,,0,0,,0,0
0,20.5,,1000,0,0,,0,0,,0,0
0,21,,1000,0,0,,0,0,,0,0
0,21.5,,1000,0,0,,0,0,,0,0
0,22,,1000,0,0,,0,0,,0,0
0,22.5,,1000,0,0,,0,0,,0,0
0,23,,1000,0,0,,0,0,,0,0
0.5,-1.5,,1000,0,0,,0,0,,0,0
0.5,-1,,1000,0,0,,0,0,,0,0
0.5,-0.5,,1000,0,0,,0,0,,0,0
0.5,0,,1000,0,0,,0,0,,0,0
0.5,0.5,,1000,0,0,,0,0,,0,0
0.5,1,,1000,0,0,,0,0,,0,0
0.5,1.5,,1000,0,0,,0,0,,0,0
0.5,2,,1000,0,0,,0,0,,0,0
0.5,2.5,,1000,0,0,,0,0,,0,0
0.5,3,,1000,0,0,,0,0,,0,0
0.5,3.5,,1000,0,0,,0,0,,0,0
0.5,4,,1000,0,0,,0,0,,0,0
0.5,4.5,,1000,0,0,,0,0,,0,0
0.5,5,,1000,0,0,,0,0,,0,0
0.5,5.5,,1000,0,0,,0,0,,0,0
0.5,6,,1000,0,0,,0,0,,0,0
0.5,6.5,,1000,0,0,,0,0,,0,0
0.5,7,,1000,0,0,,0,0,,0,0
0.5,7.5,,1000,0,0,,0,0,,0,0
0.5,8,,1000,0,0,,0,0,,0,0
0.5,8.5,,1000,0,0,,0,0,,0,0
0.5,9,,1000,0,0,,0,0,,0,0
0.5,9.5,,1000,0,0,,0,0,,0,0
0.5,10,,1000,0,0,,0,0,,0,0
0.5,10.5,,1000,0,0,,0,0,,0,0
0.5,11,,1000,0,0,,0,0,,0,0
0.5,11.5,,1000,0,0,,0,0,,0,0
0.5,12,,1000,0,0,,0,0,,0,0
0.5,12.5,,1000,0,0,,0,0,,0,0
0.5,13,,1000,0,0,,0,0,,0,0
0.5,13.5,,1000,0,0,,0,0,,0,0
0.5,14,,1000,0,0,,0,0,,0,0
0.5,14.5,,1000,0,0,,0,0,,0,0
0.5,15,,1000,0,0,,0,0,,0,0
0.5,15.5,,1000,0,0,,0,0,,0,0
0.5,16,,1000,0,0,,0,0,,0,0
0.5,16.5,,1000,0,0,,0,0,,0,0
0.5,17,,1000,0,0,,0,0,,0,0
0.5,17.5,,1000,0,0,,0,0,,0,0
0.5,18,,1000,0,0,,0,0,,0,0
0.5,18.5,,1000,0,0,,0,0,,0,0
0.5,19,,1000,0,0,,0,0,,0,0
0.5,19.5,,1000,0,0,,0,0,,0,0
0.5,20,,1000,0,0,,0,0,,0,0
0.5,20.5,,1000,0,0,,0,0,,0,0
0.5,21,,1000,0,0,,0,0,,0,0
0.5,21.5,,1000,0,0,,0,0,,0,0
0.5,22,,1000,0,0,,0,0,,0,0
0.5,22.5,,1000,0,0,,0,0,,0,0
0.5,23,,1000,0,0,,0,0,,0,0
1,-1.5,,1000,0,0,,0,0,,0,0
1,-1,,1000,0,0,,0,0,,0,0
1,-0.5,,1000,0,0,,0,0,,0,0
1,0,,1000,0,0,,0,0,,0,0
1,0.5,,1000,0,0,,0,0,,0,0
1,1,,1000,0,0,,0,0,,0,0
1,1.5,,1000,0,0,,0,0,,0,0
1,2,,1000,0,0,,0,0,,0,0
1,2.5,,1000,0,0,,0,0,,0,0
1,3,,1000,0,0,,0,0,,0,0
1,3.5,,1000,0,0,,0,0,,0,0
1,4,,1000,0,0,,0,0,,0,0
1,4.5,,1000,0,0,,0,0,,0,0
1,5,,1000,0,0,,0,0,,0,0
1,5.5,,1000,0,0,,0,0,,0,0
1,6,,1000,0,0,,0,0,,0,0
1,6.5,,1000,0,0,,0,0,,0,0
1,7,,1000,0,0,,0,0,,0,0
1,7.5,,1000,0,0,,0,0,,0,0
1,8,,1000,0,0,,0,0,,0,0
1,8.5,,1000,0,0,,0,0,,0,0
1,9,,1000,0,0,,0,0,,0,0
1,9.5,,1000,0,0,,0,0,,0,0
1,10,,1000,0,0,,0,0,,0,0
1,10.5,,1000,0,0,,0,0,,0,0
1,11,,1000,0,0,,0,0,,0,0
1,11.5,,1000,0,0,,0,0,,0,0
1,12,,1000,0,0,,0,0,,0,0
1,12.5,,1000,0,0,,0,0,,0,0
1,13,,1000,0,0,,0,0,,0,0
1,13.5,,1000,0,0,,0,0,,0,0
1,14,,1000,0,0,,0,0,,0,0
1,14.5,,1000,0,0,,0,0,,0,0
1,15,,1000,0,0,,0,0,,0,0
1,15.5,,1000,0,0,,0,0,,0,0
1,16,,1000,0,0,,0,0,,0,0
1,16.5,,1000,0,0,,0,0,,0,0
1,17,,1000,0,0,,0,0,,0,0
1,17.5,,1000,0,0,,0,0,,0,0
1,18,,1000,0,0,,0,0,,0,0
1,18.5,,1000,0,0,,0,0,,0,0
1,19,,1000,0,0,,0,0,,0,0
1,19.5,,1000,0,0,,0,0,,0,0
1,20,,1000,0,0,,0,0,,0,0
1,20.5,,1000,0,0,,0,0,,0,0
1,21,,1000,0,0,,0,0,,0,0
1,21.5,,1000,0,0,,0,0,,0,0
1,22,,1000,0,0,,0,0,,0,0
1,22.5,,1000,0,0,,0,0,,0,0
1,23,,1000,0,0,,0,0,,0,0
1.5,-1.5,,1000,0,0,,0,0,,0,0
1.5,-1,,1000,0,0,,0,0,,0,0
1.5,-0.5,,1000,0,0,,0,0,,0,0
1.5,0,,1000,0,0,,0,0,,0,0
1.5,0.5,,1000,0,0,,0,0,,0,0
1.5,1,,1000,0,0,,0,0,,0,0
1.5,1.5,,1000,0,0,,0,0,,0,0
1.5,2,,1000,0,0,,0,0,,0,0
1.5,2.5,,1000,0,0,,0,0,,0,0
1.5,3,,1000,0,0,,0,0,,0,0
1.5,3.5,,1000,0,0,,0,0,,0,0
1.5,4,,1000,0,0,,0,0,,0,0
1.5,4.5,,1000,0,0,,0,0,,0,0
1.5,5,,1000,0,0,,0,0,,0,0
1.5,5.5,,1000,0,0,,0,0,,0,0
1.5,6,,1000,0,0,,0,0,,0,0
1.5,6.5,,1000,0,0,,0,0,,0,0
1.5,7,,1000,0,0,,0,0,,0,0
1.5,7.5,,1000,0,0,,0,0,,0,0
1.5,8,,1000,0,0,,0,0,,0,0
1.5,8.5,,1000,0,0,,0,0,,0,0
1.5,9,,1000,0,0,,0,0,,0,0
1.5,9.5,,1000,0,0,,0,0,,0,0
1.5,10,,1000,0,0,,0,0,,0,0
1.5,10.5,,1000,0,0,,0,0,,0,0
1.5,11,,1000,0,0,,0,0,,0,0
1.5,11.5,,1000,0,0,,0,0,,0,0
1.5,12,,1000,0,0,,0,0,,0,0
1.5,12.5,,1000,0,0,,0,0,,0,0
1.5,13,,1000,0,0,,0,0,,0,0
1.5,13.5,,1000,0,0,,0,0,,0,0
1.5,14,,1000,0,0,,0,0,,0,0
1.5,14.5,,1000,0,0,,0,0,,0,0
1.5,15,,1000,0,0,,0,0,,0,0
1.5,15.5,,1000,0,0,,0,0,,0,0
1.5,16,,1000,0,0,,0,0,,0,0
1.5,16.5,,1000,0,0,,0,0,,0,0
1.5,17,,1000,0,0,,0,0,,0,0
1.5,17.5,,1000,0,0,,0,0,,0,0
1.5,18,,1000,0,0,,0,0,,0,0
1.5,18.5,,1000,0,0,,0,0,,0,0
1.5,19,,1000,0,0,,0,0,,0,0
1.5,19.5,,1000,0,0,,0,0,,0,0
1.5,20,,1000,0,0,,0,0,,0,0
1.5,20.5,,1000,0,0,,0,0,,0,0
1.5,21,,1000,0,0,,0,0,,0,0
1.5,21.5,,1000,0,0,,0,0,,0,0
1.5,22,,1000,0,0,,0,0,,0,0
1.5,22.5,,1000,0,0,,0,0,,0,0
1.5,23,,1000,0,0,,0,0,,0,0
2,-1.5,,1000,0,0,,0,0,,0,0
2,-1,,1000,0,0,,0,0,,0,0
2,-0.5,,1000,0,0,,0,0,,0,0
2,0,,1000,0,0,,0,0,,0,0
2,0.5,,1000,0,0,,0,0,,0,0
2,1,,1000,0,0,,0,0,,0,0
2,1.5,,1000,0,0,,0,0,,0,0
2,2,,1000,0,0,,0,0,,0,0
2,2.5,,1000,0,0,,0,0,,0,0
2,3,,1000,0,0,,0,0,,0,0
2,3.5,,1000,0,0,,0,0,,0,0
2,4,,1000,0,0,,0,0,,0,0
2,4.5,,1000,0,0,,0,0,,0,0
2,5,,1000,0,0,,0,0,,0,0
2,5.5,,1000,0,0,,0,0,,0,0
2,6,,1000,0,0,,0,0,,0,0
2,6.5,,1000,0,0,,0,0,,0,0
2,7,,1000,0,0,,0,0,,0,0
